season_id,matchup_home,season_type,min,team_name_home,fg3m_home,fg3a_home,fg3_pct_home,wl_home,team_name_away,fg3m_away,fg3a_away,fg3_pct_away,wl_away,highest_3pp,highest_3pp_wl
22015,UTA vs. OKC,Regular Season,240,Utah Jazz,5,19,0.263,L,Oklahoma City Thunder,11,27,0.407,W,0.407,W
22015,CHA vs. SAC,Regular Season,265,Charlotte Hornets,9,29,0.31,W,Sacramento Kings,8,31,0.258,L,0.31,W
22015,MEM vs. DAL,Regular Season,240,Memphis Grizzlies,7,21,0.333,W,Dallas Mavericks,11,34,0.324,L,0.333,W
22015,POR vs. CHI,Regular Season,240,Portland Trail Blazers,6,22,0.273,L,Chicago Bulls,7,18,0.389,W,0.389,W
22015,DEN vs. LAC,Regular Season,240,Denver Nuggets,8,25,0.32,L,LA Clippers,8,20,0.4,W,0.4,W
22015,WAS vs. IND,Regular Season,240,Washington Wizards,13,33,0.394,L,Indiana Pacers,19,26,0.731,W,0.731,W
22015,GSW vs. LAL,Regular Season,240,Golden State Warriors,12,35,0.343,W,Los Angeles Lakers,3,21,0.143,L,0.343,W
22015,ATL vs. BOS,Regular Season,240,Atlanta Hawks,12,24,0.5,W,Boston Celtics,9,21,0.429,L,0.5,W
22015,TOR vs. CLE,Regular Season,240,Toronto Raptors,11,25,0.44,W,Cleveland Cavaliers,14,29,0.483,L,0.483,L
22015,DET vs. MIA,Regular Season,240,Detroit Pistons,16,31,0.516,W,Miami Heat,6,20,0.3,L,0.516,W
22015,CHA vs. WAS,Regular Season,240,Charlotte Hornets,8,26,0.308,W,Washington Wizards,10,32,0.313,L,0.313,L
22015,PHX vs. NOP,Regular Season,240,Phoenix Suns,10,26,0.385,L,New Orleans Pelicans,10,22,0.455,W,0.455,W
22015,LAC vs. UTA,Regular Season,240,LA Clippers,4,12,0.333,L,Utah Jazz,6,13,0.462,W,0.462,W
22015,MIN vs. ATL,Regular Season,240,Minnesota Timberwolves,9,21,0.429,W,Atlanta Hawks,8,31,0.258,L,0.429,W
22015,ORL vs. NYK,Regular Season,240,Orlando Magic,5,16,0.313,W,New York Knicks,9,27,0.333,L,0.333,L
22015,BOS vs. PHI,Regular Season,240,Boston Celtics,9,29,0.31,W,Philadelphia 76ers,7,27,0.259,L,0.31,W
22015,HOU vs. MEM,Regular Season,240,Houston Rockets,10,34,0.294,L,Memphis Grizzlies,3,16,0.188,W,0.294,L
22015,OKC vs. BKN,Regular Season,240,Oklahoma City Thunder,10,24,0.417,W,Brooklyn Nets,3,13,0.231,L,0.417,W
22015,SAS vs. DAL,Regular Season,240,San Antonio Spurs,8,28,0.286,W,Dallas Mavericks,6,22,0.273,L,0.286,W
22015,MIL vs. SAC,Regular Season,240,Milwaukee Bucks,13,31,0.419,L,Sacramento Kings,10,23,0.435,W,0.435,W
22015,ORL vs. MIL,Regular Season,240,Orlando Magic,12,27,0.444,W,Milwaukee Bucks,8,26,0.308,L,0.444,W
22015,BOS vs. WAS,Regular Season,240,Boston Celtics,12,33,0.364,W,Washington Wizards,5,18,0.278,L,0.364,W
22015,SAC vs. MIN,Regular Season,240,Sacramento Kings,8,22,0.364,L,Minnesota Timberwolves,9,25,0.36,W,0.364,L
22015,OKC vs. DET,Regular Season,240,Oklahoma City Thunder,7,24,0.292,W,Detroit Pistons,9,29,0.31,L,0.31,L
22015,IND vs. CHI,Regular Season,240,Indiana Pacers,8,28,0.286,W,Chicago Bulls,11,26,0.423,L,0.423,L
22015,MEM vs. ATL,Regular Season,240,Memphis Grizzlies,12,30,0.4,L,Atlanta Hawks,14,39,0.359,W,0.4,L
22015,HOU vs. PHI,Regular Season,240,Houston Rockets,11,20,0.55,W,Philadelphia 76ers,16,35,0.457,L,0.55,W
22015,DEN vs. SAS,Regular Season,240,Denver Nuggets,7,20,0.35,L,San Antonio Spurs,8,22,0.364,W,0.364,W
22015,CHA vs. CLE,Regular Season,240,Charlotte Hornets,5,25,0.2,L,Cleveland Cavaliers,8,25,0.32,W,0.32,W
22015,NYK vs. MIA,Regular Season,240,New York Knicks,3,14,0.214,L,Miami Heat,7,17,0.412,W,0.412,W
22015,PHX vs. GSW,Regular Season,240,Phoenix Suns,10,26,0.385,L,Golden State Warriors,22,38,0.579,W,0.579,W
22015,LAC vs. NOP,Regular Season,240,LA Clippers,7,19,0.368,W,New Orleans Pelicans,5,20,0.25,L,0.368,W
22015,SAS vs. ATL,Regular Season,240,San Antonio Spurs,9,17,0.529,W,Atlanta Hawks,6,26,0.231,L,0.529,W
22015,POR vs. LAL,Regular Season,240,Portland Trail Blazers,12,30,0.4,W,Los Angeles Lakers,7,23,0.304,L,0.4,W
22015,CLE vs. BKN,Regular Season,240,Cleveland Cavaliers,9,27,0.333,W,Brooklyn Nets,4,17,0.235,L,0.333,W
22015,DAL vs. DEN,Regular Season,240,Dallas Mavericks,7,26,0.269,W,Denver Nuggets,8,25,0.32,L,0.32,L
22015,UTA vs. NOP,Regular Season,240,Utah Jazz,9,18,0.5,W,New Orleans Pelicans,5,17,0.294,L,0.5,W
22015,WAS vs. TOR,Regular Season,240,Washington Wizards,7,23,0.304,L,Toronto Raptors,11,24,0.458,W,0.458,W
22015,GSW vs. SAC,Regular Season,240,Golden State Warriors,16,30,0.533,W,Sacramento Kings,10,25,0.4,L,0.533,W
22015,LAL vs. IND,Regular Season,240,Los Angeles Lakers,11,33,0.333,L,Indiana Pacers,9,27,0.333,W,0.333,W
22015,TOR vs. PHX,Regular Season,240,Toronto Raptors,12,29,0.414,L,Phoenix Suns,11,27,0.407,W,0.414,L
22015,NYK vs. HOU,Regular Season,265,New York Knicks,6,18,0.333,L,Houston Rockets,7,25,0.28,W,0.333,L
22015,MEM vs. PHI,Regular Season,240,Memphis Grizzlies,4,13,0.308,W,Philadelphia 76ers,12,36,0.333,L,0.333,L
22015,BKN vs. DET,Regular Season,240,Brooklyn Nets,4,12,0.333,W,Detroit Pistons,6,24,0.25,L,0.333,W
22015,ORL vs. BOS,Regular Season,240,Orlando Magic,9,25,0.36,W,Boston Celtics,5,27,0.185,L,0.36,W
22015,LAC vs. MIN,Regular Season,240,LA Clippers,8,22,0.364,W,Minnesota Timberwolves,8,16,0.5,L,0.5,L
22015,CHA vs. MIL,Regular Season,240,Charlotte Hornets,15,31,0.484,W,Milwaukee Bucks,8,28,0.286,L,0.484,W
22015,SAC vs. DAL,Regular Season,240,Sacramento Kings,9,31,0.29,W,Dallas Mavericks,9,37,0.243,L,0.29,W
22015,UTA vs. GSW,Regular Season,240,Utah Jazz,6,19,0.316,L,Golden State Warriors,14,29,0.483,W,0.483,W
22015,MIL vs. DEN,Regular Season,240,Milwaukee Bucks,6,18,0.333,W,Denver Nuggets,6,19,0.316,L,0.333,W
22015,CHI vs. SAS,Regular Season,240,Chicago Bulls,6,16,0.375,W,San Antonio Spurs,2,14,0.143,L,0.375,W
22015,ATL vs. OKC,Regular Season,240,Atlanta Hawks,10,28,0.357,W,Oklahoma City Thunder,7,19,0.368,L,0.368,L
22015,DET vs. HOU,Regular Season,240,Detroit Pistons,8,23,0.348,W,Houston Rockets,11,27,0.407,L,0.407,L
22015,MIA vs. BOS,Regular Season,240,Miami Heat,5,17,0.294,L,Boston Celtics,8,20,0.4,W,0.4,W
22015,LAC vs. POR,Regular Season,240,LA Clippers,8,19,0.421,W,Portland Trail Blazers,5,23,0.217,L,0.421,W
